,Group,Species,Species1,OD600,Incubation time,Date,PCS
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.059,0,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.056,0,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.057,0,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.059,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.059,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.065,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.06,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.055,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.05,0,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.057,0,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.062,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.057,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.06,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.054,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.055,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.062,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.06,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.055,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.057,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.055,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.055,6,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.062,6,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.058,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.058,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.057,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.053,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.058,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.063,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.066,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.053,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.057,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.058,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.056,12,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.055,12,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.057,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.056,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.053,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.053,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.05,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.052,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.057,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.056,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.053,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.052,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.054,24,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.051,24,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.07,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.066,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.062,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.07,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.07,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.07,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.068,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.063,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.059,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.066,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.07,36,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.071,36,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.071,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.069,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.08,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.068,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.075,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.07,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.066,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.067,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.082,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.069,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.075,48,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.076,48,2021/12/16,Yes
空白RCM培养基+P.copri上清液-1,Negative+P.copri sup,Negative,Negative,0.061,60,2021/12/16,Yes
空白RCM培养基+P.copri上清液-2,Negative+P.copri sup,Negative,Negative,0.057,60,2021/12/16,Yes
空白RCM培养基+P.copri上清液-3,Negative+P.copri sup,Negative,Negative,0.055,60,2021/12/16,Yes
空白RCM培养基+P.copri上清液-4,Negative+P.copri sup,Negative,Negative,0.059,60,2021/12/16,Yes
空白RCM培养基+P.copri上清液-5,Negative+P.copri sup,Negative,Negative,0.06,60,2021/12/16,Yes
空白RCM培养基+P.copri上清液-6,Negative+P.copri sup,Negative,Negative,0.065,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-1,Negative+B.ovatus,Negative,Negative,0.061,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-2,Negative+B.ovatus,Negative,Negative,0.058,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-3,Negative+B.ovatus,Negative,Negative,0.053,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-4,Negative+B.ovatus,Negative,Negative,0.06,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-5,Negative+B.ovatus,Negative,Negative,0.06,60,2021/12/16,Yes
空白RCM培养基+B.ovatus上清液-6,Negative+B.ovatus,Negative,Negative,0.067,60,2021/12/16,Yes
