,Group,OD600,Incubation time,facet
Pc+Bp Sup4,Pc+Bp Sup,0.105,6,3
Pc+Bp Sup5,Pc+Bp Sup,0.107,6,3
Pc+Bp Sup6,Pc+Bp Sup,0.108,6,3
RCM+Bp Sup1,RCM+Bp Sup,0.066,6,3
RCM+Bp Sup2,RCM+Bp Sup,0.061,6,3
RCM+Bp Sup3,RCM+Bp Sup,0.075,6,3
Pc+Ls Sup1,Pc+Ls Sup,0.114,6,3
Pc+Ls Sup2,Pc+Ls Sup,0.104,6,3
Pc+Ls Sup3,Pc+Ls Sup,0.097,6,3
Pc+Ls Sup4,Pc+Ls Sup,0.106,6,3
Pc+Ls Sup5,Pc+Ls Sup,0.113,6,3
Pc+Ls Sup6,Pc+Ls Sup,0.102,6,3
RCM+Ls Sup1,RCM+Ls Sup,0.064,6,3
RCM+Ls Sup2,RCM+Ls Sup,0.064,6,3
RCM+Ls Sup3,RCM+Ls Sup,0.077,6,3
Pc+Po Sup1,Pc+Po Sup,0.127,6,4
Pc+Po Sup2,Pc+Po Sup,0.114,6,4
Pc+Po Sup3,Pc+Po Sup,0.12,6,4
Pc+Po Sup4,Pc+Po Sup,0.122,6,4
Pc+Po Sup5,Pc+Po Sup,0.126,6,4
Pc+Po Sup6,Pc+Po Sup,0.136,6,4
RCM+Po Sup1,RCM+Po Sup,0.064,6,4
RCM+Po Sup2,RCM+Po Sup,0.065,6,4
RCM+Po Sup3,RCM+Po Sup,0.073,6,4
Pc+RCM1,Pc,0.11,6,1
Pc+RCM2,Pc,0.103,6,1
Pc+RCM3,Pc,0.101,6,1
Pc+RCM4,Pc,0.108,6,1
Pc+RCM5,Pc,0.114,6,1
Pc+RCM6,Pc,0.109,6,1
RCM1,RCM,0.067,6,1
RCM2,RCM,0.062,6,1
RCM3,RCM,0.075,6,1
Pc+Pc Sup1,Pc+Pc Sup,0.141,12,4
Pc+Pc Sup2,Pc+Pc Sup,0.128,12,4
Pc+Pc Sup3,Pc+Pc Sup,0.125,12,4
Pc+Pc Sup4,Pc+Pc Sup,0.131,12,4
Pc+Pc Sup5,Pc+Pc Sup,0.134,12,4
Pc+Pc Sup6,Pc+Pc Sup,0.128,12,4
RCM+Pc Sup1,RCM+Pc Sup,0.062,12,4
RCM+Pc Sup2,RCM+Pc Sup,0.063,12,4
RCM+Pc Sup3,RCM+Pc Sup,0.07,12,4
Pc+Bo Sup1,Pc+Bo Sup,0.24,12,2
Pc+Bo Sup2,Pc+Bo Sup,0.2325,12,2
Pc+Bo Sup3,Pc+Bo Sup,0.183,12,2
Pc+Bo Sup4,Pc+Bo Sup,0.246,12,2
Pc+Bo Sup5,Pc+Bo Sup,0.228,12,2
Pc+Bo Sup6,Pc+Bo Sup,0.2475,12,2
RCM+Bo Sup1,RCM+Bo Sup,0.06,12,2
RCM+Bo Sup2,RCM+Bo Sup,0.06,12,2
RCM+Bo Sup3,RCM+Bo Sup,0.068,12,2
Pc+Bv Sup1,Pc+Bv Sup,0.264,12,2
Pc+Bv Sup2,Pc+Bv Sup,0.2535,12,2
Pc+Bv Sup3,Pc+Bv Sup,0.243,12,2
Pc+Bv Sup4,Pc+Bv Sup,0.27,12,2
Pc+Bv Sup5,Pc+Bv Sup,0.261,12,2
Pc+Bv Sup6,Pc+Bv Sup,0.276,12,2
RCM+Bv Sup1,RCM+Bv Sup,0.06,12,2
RCM+Bv Sup2,RCM+Bv Sup,0.06,12,2
